symbol,timestamp,open,high,low,close,volume
600519.SH,20210830,1410.08,1418.08,1351.03,1391.08,51588
600519.SH,20210831,1394.88,1421.43,1360.18,1363.08,43677
600519.SH,20210901,1364.08,1440.07,1336.18,1427.09,77316
600519.SH,20210902,1438.07,1448.08,1405.97,1423.88,42837
600519.SH,20210903,1415.1,1464.87,1387.08,1463.3,52835
600519.SH,20210906,1454.08,1513.24,1431.23,1475.75,55338
600519.SH,20210907,1466.11,1489.56,1456.08,1474.08,31211
600519.SH,20210908,1465.08,1476.26,1433.16,1438.18,33064
600519.SH,20210909,1431.08,1450.08,1429.09,1439.16,19950
600519.SH,20210910,1439.16,1473.88,1438.08,1467.66,33388
600519.SH,20210913,1470.08,1489.08,1445.18,1459.08,27720
600519.SH,20210914,1464.08,1488.08,1458.08,1462.08,33761
600519.SH,20210915,1455.08,1465.08,1415.08,1420.82,41570
600519.SH,20210916,1408.08,1449.08,1390.08,1443.15,45968
600519.SH,20210917,1425.08,1510.68,1425.08,1491.08,55130
600519.SH,20210922,1463.91,1493.08,1440.08,1442.77,31743
600519.SH,20210923,1443.08,1460.96,1430.16,1440.08,30342
600519.SH,20210924,1433.08,1525.06,1433.08,1499.08,69537
600519.SH,20210927,1555.08,1668.48,1555.08,1660.08,126869
600519.SH,20210928,1653.08,1665.08,1600.08,1627.14,49221
600519.SH,20210929,1614.08,1650.09,1590.98,1625.08,43291
600519.SH,20210930,1623.26,1655.3,1608.48,1635.08,40539
600519.SH,20211008,1627.5,1683.08,1612.31,1644.68,47452
600519.SH,20211011,1644.59,1694.98,1636.09,1672.2,37676
600519.SH,20211012,1671.08,1682.08,1647.5,1676.07,30606
600519.SH,20211013,1675.08,1755.03,1667.08,1734.98,50143
600519.SH,20211014,1734.01,1746.88,1701.08,1716.08,26623
600519.SH,20211015,1695.18,1735.07,1695.18,1722.05,28561
600519.SH,20211018,1693.08,1693.08,1592.08,1605.08,69652
600519.SH,20211019,1605.08,1643.88,1604.96,1617.26,40315
600519.SH,20211020,1638.08,1654.88,1611.09,1646.08,28663
600519.SH,20211021,1646.18,1665.08,1634.08,1649.08,23019
600519.SH,20211022,1660.08,1726.09,1659.08,1706.08,35963
600519.SH,20211025,1685.08,1690.09,1663.08,1678.11,32461
600519.SH,20211026,1669.11,1684.07,1649.08,1666.13,21130
600519.SH,20211027,1657.38,1663.38,1605.18,1624.08,34647
600519.SH,20211028,1630.28,1648.86,1607.08,1630.57,29491
600519.SH,20211029,1630.08,1653.08,1618.08,1631.16,28776
600519.SH,20211101,1585.08,1631.38,1565.08,1608.08,41690
600519.SH,20211102,1601.78,1649.3,1593.08,1609.72,32500
600519.SH,20211103,1605.08,1615.06,1566.27,1570.08,27829
600519.SH,20211104,1583.02,1621.08,1574.5,1609.28,31130
600519.SH,20211105,1609.29,1650.07,1609.29,1625.02,27077
600519.SH,20211108,1625.08,1635.88,1607.13,1625.18,17706
600519.SH,20211109,1625.06,1632.95,1587.08,1595.09,27352
600519.SH,20211110,1595.09,1600.08,1540.08,1559.07,35349
600519.SH,20211111,1558.01,1574.68,1546.58,1574.68,22652
600519.SH,20211112,1583.08,1590.13,1571.74,1578.86,17607
600519.SH,20211115,1578.76,1589.08,1555.08,1566.22,24947
600519.SH,20211116,1573.08,1623.08,1570.08,1613.08,33526
600519.SH,20211117,1610.08,1625.58,1595.09,1600.08,24505
600519.SH,20211118,1586.3,1612.08,1575.08,1597.08,19521
600519.SH,20211119,1599.27,1654.08,1593.28,1633.49,31156
600519.SH,20211122,1654.08,1714.08,1653.08,1659.35,42573
600519.SH,20211123,1657.08,1722.08,1657.08,1701.51,45782
600519.SH,20211124,1705.08,1771.08,1702.08,1746.08,54512
600519.SH,20211125,1758.08,1791.28,1751.33,1761.11,39753
600519.SH,20211126,1769.91,1772.08,1730.08,1746.09,32656
600519.SH,20211129,1765.08,1795.08,1756.16,1790.08,42399
600519.SH,20211130,1790.48,1794.98,1732.58,1735.85,36925
600519.SH,20211201,1755.08,1765.03,1724.1,1738.07,26254
600519.SH,20211202,1745.08,1747.23,1724.68,1739.08,20422
600519.SH,20211203,1737.08,1793.7,1736.13,1776.96,35818
600519.SH,20211206,1788.08,1795.08,1755.08,1772.38,31064
600519.SH,20211207,1785.82,1792.95,1751.81,1760.95,36980
600519.SH,20211208,1769.96,1850.08,1755.08,1848.08,61048
600519.SH,20211209,1860.02,1922.0,1850.08,1891.63,64239
600519.SH,20211210,1865.08,1900.86,1861.08,1895.08,43148
600519.SH,20211213,1959.08,1985.08,1923.08,1923.28,65807
600519.SH,20211214,1923.28,1972.98,1905.08,1955.08,40449
600519.SH,20211215,1947.23,1970.03,1930.1,1940.08,30078
