symbol,timestamp,open,high,low,close,volume
300750.SZ,20221216,212.41,214.79,209.83,212.13,89422
300750.SZ,20221219,212.68,218.85,212.16,213.46,101059
300750.SZ,20221220,213.23,213.57,207.12,207.41,81208
300750.SZ,20221221,207.68,209.05,204.63,205.91,54031
300750.SZ,20221222,208.23,208.23,202.12,203.23,73905
300750.SZ,20221223,200.4,203.7,198.85,201.28,73858
300750.SZ,20221226,201.28,206.15,197.18,204.3,115123
300750.SZ,20221227,203.36,205.45,200.27,204.11,81397
300750.SZ,20221228,201.05,201.18,191.17,198.79,185293
300750.SZ,20221229,197.12,200.9,196.79,198.77,98975
300750.SZ,20221230,201.29,203.23,198.23,198.47,74052
300750.SZ,20230103,197.68,198.0,191.97,196.37,104820
300750.SZ,20230104,194.62,194.9,192.15,193.24,196023
300750.SZ,20230105,195.46,207.77,193.8,206.3,260433
300750.SZ,20230106,205.46,216.0,204.38,211.38,183925
300750.SZ,20230109,214.83,214.83,209.9,211.35,128403
300750.SZ,20230110,211.93,221.57,209.51,219.9,182607
300750.SZ,20230111,219.07,222.12,215.46,217.6,122418
300750.SZ,20230112,219.9,223.67,218.61,220.73,111368
300750.SZ,20230113,226.57,231.3,218.79,224.07,207575
300750.SZ,20230116,223.51,229.62,221.63,228.03,168091
300750.SZ,20230117,228.2,230.94,226.35,227.46,98958
300750.SZ,20230118,229.07,230.39,226.07,229.07,73443
300750.SZ,20230119,227.31,230.73,225.56,228.11,73100
300750.SZ,20230120,228.11,231.12,226.71,231.01,107657
300750.SZ,20230130,246.22,252.43,239.61,241.37,211743
300750.SZ,20230131,240.95,245.18,236.81,238.35,139540
300750.SZ,20230201,241.56,246.21,241.28,244.79,115022
300750.SZ,20230202,245.94,246.4,238.17,238.85,134557
300750.SZ,20230203,237.68,238.9,230.67,233.35,120200
300750.SZ,20230206,231.01,231.86,224.95,230.23,107529
300750.SZ,20230207,230.17,232.01,226.93,228.85,72112
300750.SZ,20230208,229.68,231.82,227.12,228.35,73299
300750.SZ,20230209,228.35,233.23,225.18,231.56,80314
300750.SZ,20230210,231.57,233.06,227.13,227.65,83978
300750.SZ,20230213,230.45,236.33,228.24,235.46,134185
300750.SZ,20230214,240.46,240.62,227.56,230.48,128122
300750.SZ,20230215,231.62,233.79,228.79,229.12,77734
300750.SZ,20230216,231.01,232.4,223.23,226.12,100911
300750.SZ,20230217,225.46,225.46,213.23,213.34,214696
300750.SZ,20230220,211.01,214.28,205.64,213.5,168299
300750.SZ,20230221,211.83,214.62,208.79,210.46,131846
300750.SZ,20230222,207.12,209.96,205.83,207.38,123639
300750.SZ,20230223,207.68,210.53,206.23,209.47,95373
300750.SZ,20230224,208.23,208.68,204.36,205.12,99894
300750.SZ,20230227,203.64,205.17,202.18,202.73,92206
300750.SZ,20230228,204.34,206.73,202.96,204.29,93231
300750.SZ,20230301,203.85,210.0,203.81,208.67,126020
300750.SZ,20230302,207.4,208.23,200.01,202.57,161453
300750.SZ,20230303,203.4,205.3,202.12,203.41,82031
300750.SZ,20230306,203.33,207.05,197.68,206.8,166267
300750.SZ,20230307,204.35,207.12,203.14,203.35,99184
300750.SZ,20230308,202.13,203.75,199.41,200.86,81294
300750.SZ,20230309,200.01,202.83,195.59,200.46,81367
300750.SZ,20230310,203.06,207.64,199.85,205.34,191426
300750.SZ,20230313,203.81,205.82,196.57,197.68,188332
300750.SZ,20230314,197.06,197.12,189.9,195.03,184847
300750.SZ,20230315,198.23,199.76,193.02,195.46,129683
300750.SZ,20230316,193.23,196.52,192.96,193.85,101132
300750.SZ,20230317,196.01,196.56,188.51,188.78,201447
300750.SZ,20230320,187.98,193.57,184.35,190.98,158370
300750.SZ,20230321,192.23,198.89,190.29,198.67,172924
300750.SZ,20230322,201.42,206.93,200.47,201.68,176872
300750.SZ,20230323,201.01,203.19,199.03,201.22,100289
300750.SZ,20230324,201.23,203.38,196.57,198.56,117653
300750.SZ,20230327,197.18,201.35,193.47,200.18,161157
300750.SZ,20230328,198.79,200.0,196.68,198.01,75906
300750.SZ,20230329,199.46,204.5,198.25,202.22,137546
300750.SZ,20230330,202.67,203.23,200.65,202.18,86819
300750.SZ,20230331,204.62,210.45,204.62,205.48,196076
300750.SZ,20230403,205.52,205.9,199.9,201.41,167632
300750.SZ,20230404,202.12,202.12,192.02,195.46,200897
300750.SZ,20230406,193.23,196.32,191.1,195.47,105816
300750.SZ,20230407,194.43,198.79,193.43,196.85,100581
300750.SZ,20230410,198.73,203.3,195.46,203.24,172379
300750.SZ,20230411,202.13,207.61,201.01,202.1,143663
300750.SZ,20230412,202.12,202.12,197.68,197.68,87367
300750.SZ,20230413,196.57,197.32,193.79,195.6,100464
300750.SZ,20230414,195.4,203.44,195.18,200.62,159237
300750.SZ,20230417,200.08,207.68,199.79,206.5,176632
300750.SZ,20230418,206.51,212.12,206.17,207.12,140605
300750.SZ,20230419,210.18,210.37,205.46,207.88,116224
300750.SZ,20230420,207.85,207.85,199.9,199.9,158438
300750.SZ,20230421,204.62,210.41,201.57,204.9,252760
300750.SZ,20230424,204.96,205.46,198.17,200.39,173774
300750.SZ,20230425,201.01,201.01,191.01,194.29,168989
300750.SZ,20230426,194.3,209.25,191.31,205.8,397075
300750.SZ,20230427,205.3,213.78,203.61,212.3,339691
300750.SZ,20230428,215.3,218.63,208.19,212.15,271048
300750.SZ,20230504,212.3,213.8,205.85,206.82,194091
300750.SZ,20230505,206.3,211.3,205.02,208.3,167409
300750.SZ,20230508,211.3,215.09,207.36,212.11,227531
300750.SZ,20230509,211.68,211.68,205.35,207.13,196538
300750.SZ,20230510,207.1,215.55,202.51,213.82,289568
300750.SZ,20230511,213.85,224.28,212.5,221.7,347474
300750.SZ,20230512,223.29,225.86,219.28,219.28,223100
300750.SZ,20230515,222.31,225.3,216.4,219.59,267065
300750.SZ,20230516,219.7,222.27,218.07,220.3,139740
300750.SZ,20230517,220.3,222.98,217.36,221.3,182464
300750.SZ,20230518,222.6,222.67,212.34,213.7,241239
300750.SZ,20230519,213.05,215.48,211.3,211.3,194722
300750.SZ,20230522,210.3,213.8,208.3,211.6,146791
300750.SZ,20230523,212.18,213.01,206.45,206.72,196132
300750.SZ,20230524,206.1,209.81,205.02,206.55,147857
300750.SZ,20230525,206.15,208.98,203.79,205.39,137533
